name,provider_id,type,region,state,address,phone,address,particip_date,certified_beds,hospital_based,ownership_type,termination_code,termination_date,legal_owner,is_brightspring
PADUA COMMUNITY SERVICES - PADUA HOUSE,19G019,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"200 BETA STREET
BELLE CHASSE, LA 70037",504 392-0502,"200 BETA STREET
BELLE CHASSE, LA 70037",1982-07-14,32,No,Non-Profit,,,CATHOLIC CHARITIES ARCHDIOCESE OF NEW ORLEANS,False
LISA STREET GROUP HOME,19G020,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"608 LISA STREET
RAYNE, LA 70578",337 384-6842,"608 LISA STREET
RAYNE, LA 70578",1982-12-30,8,No,Non-Profit,,,ARC OF ACADIANA,False
WOODLANDS GROUP HOME,19G023,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1209 MIDDLE ROAD
MINDEN, LA 71055",318 377-9171,"1209 MIDDLE ROAD
MINDEN, LA 71055",1985-03-05,8,No,Non-Profit,,,"EVERGREEN PRESBYTERIAN MINISTRIES, INC-NORTH CENTRAL",False
TERRACE DRIVE GROUP HOME,19G024,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"3315 TERRACE DRIVE
SHREVEPORT, LA 71107",318 226-8940,"3315 TERRACE DRIVE
SHREVEPORT, LA 71107",1982-09-16,6,No,Non-Profit,,,"Evergreen Presbyterian Ministies , Inc.",False
JEFFERSON PARK HOME,19G025,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"8041 JEFFERSON PARK
BATON ROUGE, LA 70816",225 778-5243,"8041 JEFFERSON PARK
BATON ROUGE, LA 70816",1982-11-18,8,No,For Profit,,,"NORMAL LIFE OF LAFAYETTE, INC.",True
THIBAUT MANOR,19G031,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"4201 HIGHWAY 1
NAPOLEONVILLE, LA 70390",985 369-2907,"4201 HIGHWAY 1
NAPOLEONVILLE, LA 70390",1982-09-08,8,No,Non-Profit,,,"ASSUMPTION ARC, INC.",False
HOWELL HOUSE,19G033,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"24646 WALKER SOUTH ROAD
DENHAM SPRINGS, LA 70726",225 665-3406,"24646 WALKER SOUTH ROAD
DENHAM SPRINGS, LA 70726",1982-09-01,8,No,For Profit,,,"Howell House, Inc.",False
HOYTE DRIVE COMMUNITY HOME,19G034,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"2709 HOYTE DRIVE
SHREVEPORT, LA 71101",318 688-6769,"2709 HOYTE DRIVE
SHREVEPORT, LA 71101",1982-12-10,6,No,Non-Profit,,,THE ARC CADDO BOSSIER,False
GREENBRIAR COMMUNITY HOME,19G035,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"111 GREENBRIAR DRIVE
BOSSIER CITY, LA 71111",318 741-9795,"111 GREENBRIAR DRIVE
BOSSIER CITY, LA 71111",1982-12-10,6,No,Non-Profit,,,THE ARC CADDO BOSSIER,False
ATLANTIC AVENUE COMMUNITY HOME,19G036,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"136 ATLANTIC AVENUE
SHREVEPORT, LA 71105",318 221-8392,"136 ATLANTIC AVENUE
SHREVEPORT, LA 71105",1982-12-10,8,No,Non-Profit,,,THE ARC CADDO BOSSIER,False
JEFFERSON PAIGE COMMUNITY HOME,19G037,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"6623 JEFFERSON PAIGE ROAD
SHREVEPORT, LA 71119",318 635-7954,"6623 JEFFERSON PAIGE ROAD
SHREVEPORT, LA 71119",1982-12-10,6,No,Non-Profit,"Vol-Merg, Close",2019-05-19,THE ARC CADDO BOSSIER,False
UNIVERSITY DRIVE COMMUNITY HOME,19G038,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"7614 UNIVERSITY DRIVE
SHREVEPORT, LA 71105",318 797-6825,"7614 UNIVERSITY DRIVE
SHREVEPORT, LA 71105",1982-12-10,6,No,Non-Profit,,,THE ARC CADDO BOSSIER,False
OLD MOORINGSPORT COMMUNITY HOME,19G039,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"3023 OLD MOORINGSPORT ROAD
SHREVEPORT, LA 71107",318 221-5147,"3023 OLD MOORINGSPORT ROAD
SHREVEPORT, LA 71107",1982-12-10,7,No,Non-Profit,,,THE ARC CADDO BOSSIER,False
VIVIAN GROUP HOME,19G040,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"526 EAST ALABAMA AVE
VIVIAN, LA 71082",318 375-3999,"526 EAST ALABAMA AVE
VIVIAN, LA 71082",1982-12-10,10,No,Non-Profit,,,THE ARC CADDO BOSSIER,False
IBERVILLE GROUP HOME,19G041,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"4174 IBERVILLE STREET
NEW ORLEANS, LA 70119",504 836-8717,"4174 IBERVILLE STREET
NEW ORLEANS, LA 70119",1983-02-09,8,No,Non-Profit,,,"Volunteers of America Southeast Louisiana, Inc.",False
OLYMPIA GROUP HOME,19G042,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"118 S OLYMPIA STREET
NEW ORLEANS, LA 70119",504 836-8717,"118 S OLYMPIA STREET
NEW ORLEANS, LA 70119",1983-02-08,8,No,Non-Profit,,,"Volunteers of America Southeast Louisiana, Inc.",False
CONSTANCE GROUP HOME,19G043,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"5005 CONSTANCE STREET
NEW ORLEANS, LA 70115",504 836-8717,"5005 CONSTANCE STREET
NEW ORLEANS, LA 70115",1983-02-10,8,No,Non-Profit,,,"Volunteers of America Southeast Louisiana, Inc.",False
BELL OAKS HILDA HOUSE,19G046,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"407 8TH STREET N W
SPRINGHILL, LA 71075",318 539-5691,"407 8TH STREET N W
SPRINGHILL, LA 71075",1981-10-20,8,No,Non-Profit,,,"BELL OAKS, INC.",False
PECAN LANE COMMUNITY HOME,19G048,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1212 PECAN LANE
BOSSIER CITY, LA 71112",318 221-9392,"1212 PECAN LANE
BOSSIER CITY, LA 71112",1982-12-10,6,No,Non-Profit,,,THE ARC CADDO BOSSIER,False
ARLINGTON PLACE COMMUNITY HOME,19G049,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"2418 ARLINGTON PLACE
BOSSIER CITY, LA 71111",318 221-8392,"2418 ARLINGTON PLACE
BOSSIER CITY, LA 71111",1982-06-24,6,No,Non-Profit,,,THE ARC  CADDO BOSSIER,False
LA TROUVE',19G051,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"30334 MILTON ROAD
WALKER, LA 70785",225 665-1450,"30334 MILTON ROAD
WALKER, LA 70785",1982-07-21,6,No,For Profit,,,"LA TROUVE', INC.",False
SALE ROAD COMMUNITY HOME,19G053,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"623 WEST SALE ROAD
LAKE CHARLES, LA 70605",337 478-7857,"623 WEST SALE ROAD
LAKE CHARLES, LA 70605",1982-06-25,6,No,Non-Profit,,,"CARC, INC.",False
AMANDA ROCK COMMUNITY HOME,19G055,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"301 KNAPP STREET
LEESVILLE, LA 71446",318 445-4470,"301 KNAPP STREET
LEESVILLE, LA 71446",1982-06-29,6,No,Non-Profit,,,EVERGREEN LIFE SERVICES,False
LIVE OAK COMMUNITY HOME,19G057,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"955 LIVE OAK COURT
PONCHATOULA, LA 70454",985 878-3244,"955 LIVE OAK COURT
PONCHATOULA, LA 70454",1982-08-27,6,No,Non-Profit,,,EVERGREEN LIFE SERVICES,False
JONESBORO COMMUNITY HOME,19G058,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1564 SOUTH HUDSON
JONESBORO, LA 71251",318 259-8906,"1564 SOUTH HUDSON
JONESBORO, LA 71251",1982-11-23,6,No,For Profit,,,"MORNING LIGHT, INC.",False
LEDOUX PROVOSTY SR MEMORIAL HOME,19G059,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"4332 JEANSONNE STREET
HESSMER, LA 71341",318 442-2284,"4332 JEANSONNE STREET
HESSMER, LA 71341",1982-09-20,6,No,Non-Profit,,,"NEW EARTH, INC.",False
HARMONY CENTER NO 2,19G062,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"2241 ELLISALDE STREET
BATON ROUGE, LA 70802",225 336-5412,"2241 ELLISALDE STREET
BATON ROUGE, LA 70802",1982-03-01,8,No,Non-Profit,,,"HARMONY CENTER, INC.",False
MILLER MANOR,19G063,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"333 HENRY CLAY AVE
NEW ORLEANS, LA 70118",504 218-8709,"333 HENRY CLAY AVE
NEW ORLEANS, LA 70118",1982-08-02,6,No,For Profit,,,STRIVE INCORPORATED,False
FLINT DRIVE COMMUNITY HOME,19G065,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"613 FLINT DRIVE
HAUGHTON, LA 71037",318 949-6715,"613 FLINT DRIVE
HAUGHTON, LA 71037",1982-10-20,6,No,Non-Profit,,,"EVERGREEN PRESBYTERIAN MINISTRIES, INC",False
MAGNOLIA BLOOM GROUP HOME,19G074,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"100 CENTRAL AVE UNIT K
JEFFERSON, LA 70121",504 733-2874,"100 CENTRAL AVE UNIT K
JEFFERSON, LA 70121",1981-06-15,8,No,Non-Profit,,,"MAGNOLIA COMMUNITY SERVICES, INC.",False
KENT DRIVE HOME,19G075,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1402 W KENT DRIVE
SULPHUR, LA 70663",337 527-7016,"1402 W KENT DRIVE
SULPHUR, LA 70663",1982-12-21,6,No,Non-Profit,,,"Evergreen Presbyterian Miistries, Inc..",False
VERN TRAHAN COMMUNITY HOME,19G077,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"206 LAURA AVENUE
LAFAYETTE, LA 70506",337 988-0640,"206 LAURA AVENUE
LAFAYETTE, LA 70506",1983-02-03,8,No,Non-Profit,,,"LAFAYETTE ASSOCIATION FOR RETARDED CITIZENS, INC.",False
NARROW HOME,19G083,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"522 NARROW STREET
THIBODAUX, LA 70301",985 447-6214,"522 NARROW STREET
THIBODAUX, LA 70301",1983-04-08,6,No,Non-Profit,,,LAFOURCHE ARC,False
ROYAL STREET COMMUNITY HOME,19G084,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1000 ROYAL STREET
LAKE CHARLES, LA 70605",337 474-2867,"1000 ROYAL STREET
LAKE CHARLES, LA 70605",1983-02-17,6,No,Non-Profit,,,"CARC, INC.",False
WESTSIDE GROUP HOME,19G087,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"2987 NORTH BOLTON AVENUE
ALEXANDRIA, LA 71303",318 473-1880,"2987 NORTH BOLTON AVENUE
ALEXANDRIA, LA 71303",1983-05-06,14,No,Non-Profit,,,"WESTSIDE HABILITATION CENTER, INC.",False
EAST MOREHOUSE COMMUNITY HOME,19G091,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"505 N 22 ND STREET
MER ROUGE, LA 71261",318 283-2338,"505 N 22 ND STREET
MER ROUGE, LA 71261",1983-06-24,6,No,Non-Profit,,,THE ARC OF MOREHOUSE,False
GRAHAM HOME,19G092,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"8825 GRAHAM STREET
BATON ROUGE, LA 70814",225 778-5240,"8825 GRAHAM STREET
BATON ROUGE, LA 70814",1983-08-17,6,No,For Profit,,,"NORMAL LIFE OF LAFAYETTE, INC.",True
YORKTOWN HOME,19G093,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"3071 YORKTOWN DRIVE
BATON ROUGE, LA 70808",225 778-5245,"3071 YORKTOWN DRIVE
BATON ROUGE, LA 70808",1983-08-16,8,No,For Profit,,,"NORMAL LIFE OF LAFAYETTE, INC.",True
WESLEYAN COMMUNITY HOME,19G094,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1621 SUSEK DRIVE
PINEVILLE, LA 71360",318 442-2284,"1621 SUSEK DRIVE
PINEVILLE, LA 71360",1983-08-08,6,No,For Profit,,,"COLWELL INTEREST, INC.",False
FULTON ROAD COMMUNITY HOME,19G095,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"3207 MADONNA DRIVE
ALEX, LA 71301",318 487-6500,"3207 MADONNA DRIVE
ALEX, LA 71301",1983-08-09,6,No,Non-Profit,,,"EVERGREEN PRESBYTERIAN MINISTRIES, INC.-CENTRAL",False
SHERATON HOME,19G096,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"10944 SHERATON DRIVE
BATON ROUGE, LA 70815",225 778-5275,"10944 SHERATON DRIVE
BATON ROUGE, LA 70815",1983-09-07,8,No,For Profit,,,"NORMAL LIFE OF LAFAYETTE, INC.",True
LEWISVILLE ROAD GROUP HOME,19G097,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1303 LEWISVILLE ROAD
MINDEN, LA 71055",318 377-7460,"1303 LEWISVILLE ROAD
MINDEN, LA 71055",1983-10-05,8,No,Non-Profit,,,"EVERGREEN PRESBYTERIAN MINISTRIES, INC-NORTH CENTRAL",False
WYBLE GROUP HOME,19G099,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1009 WYBLE STREET
OPELOUSAS, LA 70570",337 233-2731,"1009 WYBLE STREET
OPELOUSAS, LA 70570",1984-02-10,8,No,For Profit,,,"NORMAL LIFE OF LAFAYETTE, INC.",True
IDAHO COMMUNITY HOME,19G100,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"4312 IDAHO AVENUE
KENNER, LA 70065",504 513-3159,"4312 IDAHO AVENUE
KENNER, LA 70065",1984-01-31,6,No,For Profit,,,DDMS of Louisiana No. 2,False
DELAWARE 1 COMMUNITY HOME,19G101,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"4309 DELAWARE AVENUE
KENNER, LA 70065",504 513-3159,"4309 DELAWARE AVENUE
KENNER, LA 70065",1984-01-17,6,No,For Profit,,,DDMS of Louisiana No. 2,False
ARKANSAS COMMUNITY HOME,19G102,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"4232 ARKANSAS STREET
KENNER, LA 70065",504 513-3159,"4232 ARKANSAS STREET
KENNER, LA 70065",1984-01-24,6,No,For Profit,,,DDMS of Louisiana No. 2,False
CHERRYHILL COMMUNITY HOME,19G103,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1144 NORTH HAZEL STREET
SULPHUR, LA 70663",337 474-3370,"1144 NORTH HAZEL STREET
SULPHUR, LA 70663",1983-11-02,6,No,Non-Profit,,,"CARC, INC.",False
REIGEL STREET COMMUNITY HOME,19G104,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"708 REIGEL STREET
LAKE CHARLES, LA 70607",337 474-3370,"708 REIGEL STREET
LAKE CHARLES, LA 70607",1983-12-09,6,No,Non-Profit,,,"CARC, INC.",False
ORANGE GROVE GROUP HOME,19G107,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1003 ORANGE GROVE AVENUE
NEW IBERIA, LA 70560",337 233-2731,"1003 ORANGE GROVE AVENUE
NEW IBERIA, LA 70560",1984-03-01,8,No,For Profit,,,"NORMAL LIFE OF LAFAYETTE, INC.",True
STANFORD COMMUNITY HOME,19G108,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"4076 E LOUISIANA STATE DRIVE
KENNER, LA 70065",504 472-5512,"4076 E LOUISIANA STATE DRIVE
KENNER, LA 70065",1984-03-14,6,No,Non-Profit,"Vol-Merg, Close",2017-12-29,"PROGRESSIVE HEALTHCARE PROVIDERS, INC.",False
TIMMY GROUP HOME,19G109,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"720 TIMMY STREET
SCOTT, LA 70583",337 233-2731,"720 TIMMY STREET
SCOTT, LA 70583",1984-03-22,8,No,For Profit,,,"NORMAL LIFE OF LAFAYETTE, INC.",True
GARLAND GROUP HOME,19G110,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1315 GARLAND AVE
OPELOUSAS, LA 70570",337 233-2731,"1315 GARLAND AVE
OPELOUSAS, LA 70570",1984-04-04,8,No,For Profit,,,"NORMAL LIFE OF LAFAYETTE, INC.",True
OUR HOUSE,19G113,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"20368 GREEN ACRES DRIVE
HAMMOND, LA 70401",985 345-6269,"20368 GREEN ACRES DRIVE
HAMMOND, LA 70401",1984-03-29,6,No,Non-Profit,,,"OPTIONS, INC.",False
TANK FARM GROUP HOME,19G115,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"2906 EAST TANK FARM
LAKE CHARLES, LA 70607",337 478-2299,"2906 EAST TANK FARM
LAKE CHARLES, LA 70607",1983-11-17,8,No,For Profit,"Vol-Merg, Close",2019-01-30,"RES-CARE, INC",True
LOCHLOMAND GROUP HOME,19G117,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1207 LOCHLOMAND
HARVEY, LA 70058",985 237-4148,"1207 LOCHLOMAND
HARVEY, LA 70058",1983-11-17,8,No,For Profit,,,"NORMAL LIFE OF LOUISIANA, INC.",True
STS MARY AND ELIZABETH GROUP HOME,19G118,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"720 N ELM STREET
METAIRIE, LA 70003",504 738-6959,"720 N ELM STREET
METAIRIE, LA 70003",1984-03-16,8,No,Non-Profit,,,CATHOLIC CHARITIES ARCHDIOCESE OF NEW ORLEANS,False
FOURTH STREET GROUP HOME,19G120,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"906 FOURTH ST
GRETNA, LA 70053",985 237-4148,"906 FOURTH ST
GRETNA, LA 70053",1984-08-31,8,No,For Profit,,,"NORMAL LIFE OF LOUISIANA, INC.",True
CARROLL STREET,19G121,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"181 CARROLL STREET
SHREVEPORT, LA 71105",318 687-9622,"181 CARROLL STREET
SHREVEPORT, LA 71105",1984-02-24,6,No,Non-Profit,,,"EVERGREEN PRESBYTERIAN MINISTRIES, INC-NORTHWEST",False
HELENA GROUP HOME,19G122,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"2644 HELENA STREET
KENNER, LA 70062",504 513-3159,"2644 HELENA STREET
KENNER, LA 70062",1984-05-18,8,No,For Profit,,,DDMS of Louisiana No. 2,False
ACRON COMMUNITY HOME,19G123,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"2722 ACRON STREET
KENNER, LA 70062",504 513-3159,"2722 ACRON STREET
KENNER, LA 70062",1984-05-21,6,No,For Profit,,,DDMS of Louisiana No. 2,False
DIXIE GROUP HOME,19G124,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"167 DIXIE STREET
HOUMA, LA 70363",985 879-2538,"167 DIXIE STREET
HOUMA, LA 70363",1984-05-30,7,No,Government,,,TERREBONNE ARC,False
LANDSBURY HOME,19G125,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"10627 LANDSBURY DRIVE
BATON ROUGE, LA 70809",225 778-5179,"10627 LANDSBURY DRIVE
BATON ROUGE, LA 70809",1984-07-19,7,No,For Profit,,,"NORMAL LIFE OF LAFAYETTE, INC.",True
NORWICH HOME,19G126,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"4216 NORWICH STREET
BATON ROUGE, LA 70814",225 778-5142,"4216 NORWICH STREET
BATON ROUGE, LA 70814",1984-04-27,6,No,For Profit,"Vol-Merg, Close",2016-08-31,"NORMAL LIFE OF LAFAYETTE, INC.",True
STEVENS HOME,19G127,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"910 JUSTIN ST
LOCKPORT, LA 70374",985 532-6478,"910 JUSTIN ST
LOCKPORT, LA 70374",1984-04-27,6,No,Non-Profit,,,LAFOURCHE ARC,False
MARCIA HOME,19G128,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1452-54 MARCIA STREET
BATON ROUGE, LA 70815",225 778-5186,"1452-54 MARCIA STREET
BATON ROUGE, LA 70815",1984-05-30,6,No,Government,"Vol-Merg, Close",2018-08-18,"NORMAL LIFE OF LAFAYETTE, INC.",True
WEDGEWOOD COMMUNITY HOME,19G129,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"1416 WEDGEWOOD STREET
LAKE CHARLES, LA 70605",337 564-6617,"1416 WEDGEWOOD STREET
LAKE CHARLES, LA 70605",1984-03-23,6,No,Non-Profit,,,"CARC, INC.",False
ALLYSON STREET HOME,19G130,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"10511 ALLYSON STREET
BATON ROUGE, LA 70815",985 237-4148,"10511 ALLYSON STREET
BATON ROUGE, LA 70815",1984-05-03,6,No,For Profit,,,"NORMAL LIFE OF LAFAYETTE, INC",True
GOODWOOD HOME,19G131,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"13650 GOODWOOD DRIVE
BATON ROUGE, LA 70815",225 778-5215,"13650 GOODWOOD DRIVE
BATON ROUGE, LA 70815",1984-05-30,8,No,For Profit,"Vol-Merg, Close",2016-07-01,"NORMAL LIFE OF LAFAYETTE, INC.",True
REGENCY HOME,19G132,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,LA,"9943 REGENCY DRIVE
BATON ROUGE, LA 70815",225 778-5275,"9943 REGENCY DRIVE
BATON ROUGE, LA 70815",1984-04-27,6,No,For Profit,,,"NORMAL LIFE OF LAFAYETTE, INC.",True
