name,provider_id,type,region,state,address,phone,address,particip_date,certified_beds,hospital_based,ownership_type,termination_code,termination_date,legal_owner,is_brightspring
RIVERBEND,34G017,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"140 PIRATES ROAD
NEW BERN, NC 28562",252 638-6519,"140 PIRATES ROAD
NEW BERN, NC 28562",1983-06-03,125,No,For Profit,,,"RHA Health Services NC, LLC",False
SPRINGDALE LANE GROUP HOME,34G018,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"934 SPRINGDALE LANE
GASTONIA, NC 28052",704 867-3473,"934 SPRINGDALE LANE
GASTONIA, NC 28052",1983-12-14,5,No,Non-Profit,,,"Gaston Residential Services- ICF/MR, Inc.",False
MICHIGAN STREET HOME,34G019,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"1006 MICHIGAN STREET
KANNAPOLIS, NC 28081",704 788-2304,"1006 MICHIGAN STREET
KANNAPOLIS, NC 28081",1984-06-14,5,No,Non-Profit,,,"Piedmont Residential Developmental Center, Inc.",False
ROUSE'S GROUP HOME,34G020,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"5949 NC 135
STONEVILLE, NC 27048",336 427-0609,"5949 NC 135
STONEVILLE, NC 27048",1984-06-28,30,No,Non-Profit,,,"Rouse's Group Home, Inc.",False
"RALPH SCOTT LIFESERVICES, INC/TOWN BRANCH RD",34G021,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"710 TOWN BRANCH RD
GRAHAM, NC 27253",336 227-1011,"710 TOWN BRANCH RD
GRAHAM, NC 27253",1984-08-23,6,No,Non-Profit,,,"Ralph Scott Lifeservices, Inc.",False
"RALPH SCOTT LIFESERVICES, INC/POPULAR STREET",34G022,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"328 POPLAR STREET
GRAHAM, NC 27253",336 227-1011,"328 POPLAR STREET
GRAHAM, NC 27253",1984-08-23,6,No,Non-Profit,,,"Ralph Scott Lifeservices, Inc.",False
PITT CO GROUP HOME #1,34G023,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"6570 FAIRWAY DRIVE
GRIFTON, NC 28530",252 524-3993,"6570 FAIRWAY DRIVE
GRIFTON, NC 28530",1984-07-19,6,No,Non-Profit,,,"Pitt Co. GH Board for MR, Autistic Persons, Inc.",False
PINEVIEW,34G024,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"5260 PINEVIEW DRIVE
WINSTON SALEM, NC 27105",336 744-1805,"5260 PINEVIEW DRIVE
WINSTON SALEM, NC 27105",1984-10-23,5,No,Non-Profit,,,Monarch,False
NEW RIVER COTTAGE INC,34G026,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"82 DAVIS LANE
SPARTA, NC 28675",336 372-2592,"82 DAVIS LANE
SPARTA, NC 28675",1985-03-01,5,No,Non-Profit,,,"New River Cottage, Inc.",False
SCOTTHURST I & II,34G027,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"174 HOOTS DRIVE
WINSTON-SALEM, NC 27107",336 764-3553,"174 HOOTS DRIVE
WINSTON-SALEM, NC 27107",1985-03-11,12,No,For Profit,,,"RHA Health Services NC, LLC",False
"LIFE, INC WILLIAM STREET HOME",34G028,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"407 NORTH WILLIAM STREET
GOLDSBORO, NC 27530",919 734-1402,"407 NORTH WILLIAM STREET
GOLDSBORO, NC 27530",1985-04-02,6,No,For Profit,,,"Life, Inc.",False
ROSEANNE GROUP HOME,34G029,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"900 ROSEANNE DR
KINSTON, NC 28504",252 523-4542,"900 ROSEANNE DR
KINSTON, NC 28504",1985-04-11,5,No,For Profit,,,"Howell Support Services, LLC",False
SHERWOOD PARK HOME,34G030,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"126 ROBINHOOD LANE
ABERDEEN, NC 28315",910 944-7002,"126 ROBINHOOD LANE
ABERDEEN, NC 28315",1985-05-13,15,No,For Profit,,,"RHA Health Services NC, LLC",False
BLUEWEST OPPORTUNITIES-ORA HOUSE,34G031,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"95 ORA STREET
ASHEVILLE, NC 28801",828 253-0291,"95 ORA STREET
ASHEVILLE, NC 28801",1985-05-28,6,No,Non-Profit,,,"BlueWest Opportunities, Inc.",False
SMOKY ICF/MR GROUP HOME,34G032,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"115 STORYBOOK LANE
SYLVA, NC 28779",828 586-3632,"115 STORYBOOK LANE
SYLVA, NC 28779",1985-08-14,6,No,Non-Profit,,,"Macon Citizens Habilities, Inc.",False
SOUTHRIDGE ROAD,34G033,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"301 SOUTHRIDGE RD
JAMESTOWN, NC 27282",336 454-1213,"301 SOUTHRIDGE RD
JAMESTOWN, NC 27282",1985-08-30,5,No,Non-Profit,,,Monarch,False
"LIFE, INC. WALNUT STREET GROUP HOME",34G034,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"1011 EAST WALNUT STREET
GOLDSBORO, NC 27530",919 736-7668,"1011 EAST WALNUT STREET
GOLDSBORO, NC 27530",1985-10-08,6,No,For Profit,,,"LIFE, Inc.",False
SILO DRIVE FACILITY-CHAPEL HILL,34G035,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"111 SILO DRIVE
CHAPEL HILL, NC 27514",919 942-4172,"111 SILO DRIVE
CHAPEL HILL, NC 27514",1985-12-13,6,No,Non-Profit,,,"Residential Services, Inc.",False
SEVEN OAKS ROAD-DURHAM,34G036,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"614 SEVEN OAKS ROAD
DURHAM, NC 27704",919 560-7441,"614 SEVEN OAKS ROAD
DURHAM, NC 27704",1985-12-20,5,No,For Profit,,,VOCA Corporation of North Carolina,True
MALLARD LANE CENTER,34G037,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"142 MALLARD LANE
ROCKINGHAM, NC 28379",910 895-3428,"142 MALLARD LANE
ROCKINGHAM, NC 28379",1986-01-17,5,No,Non-Profit,,,Monarch,False
CLEAR CREEK,34G038,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"11950 HOWELL CENTER DRIVE
CHARLOTTE, NC 28227",704 545-7200,"11950 HOWELL CENTER DRIVE
CHARLOTTE, NC 28227",1986-02-27,120,No,Non-Profit,,,"RHA Health Services NC, LLC",False
TAMMY LYNN CENTER-ADULT RESIDENTIAL,34G039,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"737 CHAPPELL DRIVE
RALEIGH, NC 27606",919 832-3909,"737 CHAPPELL DRIVE
RALEIGH, NC 27606",1986-02-28,10,No,Non-Profit,,,"TLC Operations, Inc.",False
SKILL CREATIONS,34G040,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"2101 ROYALL AVE
GOLDSBORO, NC 27534",919 736-7471,"2101 ROYALL AVE
GOLDSBORO, NC 27534",1986-06-04,15,No,Non-Profit,,,"Skill Creations, Inc.",False
COUNTRY MANOR GROUP HOME,34G041,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"1070 PACKING PLANT ROAD
SMITHFIELD, NC 27577",919 934-9424,"1070 PACKING PLANT ROAD
SMITHFIELD, NC 27577",1986-07-08,6,No,For Profit,,,"RHA Health Services NC, LLC",False
ERWIN #2,34G042,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"202 WEST B STREET
ERWIN, NC 28339",910 897-2854,"202 WEST B STREET
ERWIN, NC 28339",1986-07-22,6,No,For Profit,,,"RHA Health Services NC, LLC",False
ERWIN AVENUE HOME,34G043,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"100 ERWIN AVENUE
ERWIN, NC 28339",910 897-8093,"100 ERWIN AVENUE
ERWIN, NC 28339",1986-07-17,6,No,For Profit,,,"RHA Health Services NC, LLC",False
HEATH AVENUE HOME,34G044,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"105 EAST HEATH AVE
SMITHFIELD, NC 27577",919 934-1573,"105 EAST HEATH AVE
SMITHFIELD, NC 27577",1986-07-23,6,No,For Profit,,,"RHA Health Services NC, LLC",False
CANTERBURY ROAD HOME,34G045,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"214 CANTERBURY ROAD
SMITHFIELD, NC 27577",919 934-5907,"214 CANTERBURY ROAD
SMITHFIELD, NC 27577",1986-07-23,6,No,For Profit,,,"RHA Health Services NC, LLC",False
LILLINGTON GROUP HOME,34G046,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"1110 NC 210 SOUTH
LILLINGTON, NC 27546",919 893-9121,"1110 NC 210 SOUTH
LILLINGTON, NC 27546",1986-08-01,6,No,For Profit,,,"RHA Health Services NC, LLC",False
SKILL CREATIONS OF CLINTON,34G047,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"223 FOREST TRAIL
CLINTON, NC 28328",910 592-0110,"223 FOREST TRAIL
CLINTON, NC 28328",1986-09-09,15,No,Non-Profit,,,"Skill Creations, Inc.",False
ROCKWELL 1 & 2,34G048,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"HIGHWAY 152 EAST 6330
ROCKWELL, NC 28138",704 278-9681,"HIGHWAY 152 EAST 6330
ROCKWELL, NC 28138",1986-10-10,12,No,For Profit,,,"RHA Health Services NC, LLC",False
"RESIDENTIAL SERVICES, INC. RETIREMENT CENTER",34G050,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"6310 MOUNT HERMAN CHURCH ROAD
DURHAM, NC 27705",919 383-4444,"6310 MOUNT HERMAN CHURCH ROAD
DURHAM, NC 27705",1987-01-12,15,No,Non-Profit,,,"Residential Services, Inc.",False
LAURA SPRINGS ROAD HOME,34G051,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"309 LAURA SPRINGS DR
SALISBURY, NC 28144",704 278-9681,"309 LAURA SPRINGS DR
SALISBURY, NC 28144",1987-03-03,6,No,For Profit,,,"RHA Health Services NC, LLC",False
MYRON PLACE,34G053,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"219 MYRON PLACE
SALISBURY, NC 28144",704 278-9681,"219 MYRON PLACE
SALISBURY, NC 28144",1987-12-03,6,No,For Profit,,,"RHA Health Services NC, LLC",False
SKILL CREATIONS OF SANFORD,34G054,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"1751 HAWKINS AVENUE
SANFORD, NC 27330",919 775-5622,"1751 HAWKINS AVENUE
SANFORD, NC 27330",1987-03-23,15,No,Non-Profit,,,"Skill Creations, Inc.",False
FANJOY HOME #1,34G055,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"235 FANJOY ROAD
STATESVILLE, NC 28625",704 872-3257,"235 FANJOY ROAD
STATESVILLE, NC 28625",1987-05-21,6,No,For Profit,,,"RHA Health Services NC, LLC",False
SKILL CREATIONS OF KENANSVILLE,34G056,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"200 SOUTH STOKES STREET
KENANSVILLE, NC 28349",910 296-0078,"200 SOUTH STOKES STREET
KENANSVILLE, NC 28349",1987-07-22,15,No,Non-Profit,,,"Skill Creations, Inc.",False
HAYWOOD COUNTY GROUP HOME #3,34G057,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"401 WOODLAWN CIRCLE
CLYDE, NC 28721",828 627-3822,"401 WOODLAWN CIRCLE
CLYDE, NC 28721",1987-07-27,5,No,Non-Profit,,,"The Arc of Haywood County, Inc.",False
OLD FARM ROAD,34G058,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"409 OLD FARM ROAD
RAEFORD, NC 28376",910 424-2121,"409 OLD FARM ROAD
RAEFORD, NC 28376",1987-06-29,6,No,Government,,,"RHA Health Services NC, LLC",False
BELMONT GROUP HOME,34G059,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"100 BELMONT MOUNT HOLLY ROAD/205 WIMMER CIRCLE
BELMONT, NC 28012",704 861-9280,"100 BELMONT MOUNT HOLLY ROAD/205 WIMMER CIRCLE
BELMONT, NC 28012",1987-08-06,5,No,Non-Profit,,,"Gaston Residential Services- ICF/MR, Inc.",False
SMITH STREET HOME,34G060,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"112 SMITH STREET
CLEVELAND, NC 27013",704 278-9681,"112 SMITH STREET
CLEVELAND, NC 27013",1987-07-29,6,No,For Profit,,,"RHA Health Services NC, LLC",False
GEORGIA COURT,34G061,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"107 MISS GEORGIA COURT
CARY, NC 27511",919 467-2857,"107 MISS GEORGIA COURT
CARY, NC 27511",1987-09-24,6,No,For Profit,,,Educare Community Living Corporation - North Carolina,False
BOXWOOD ACRES,34G062,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"3464 US HWY 601 SOUTH
MOCKSVILLE, NC 27028",704 278-9681,"3464 US HWY 601 SOUTH
MOCKSVILLE, NC 27028",1987-11-24,6,No,Non-Profit,,,"RHA Health Services NC, LLC",False
SKILL CREATIONS OF KINSTON,34G063,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"901 DOCTORS DRIVE
KINSTON, NC 28503",252 522-1738,"901 DOCTORS DRIVE
KINSTON, NC 28503",1987-10-16,15,No,Non-Profit,,,"Skill Creations, Inc.",False
TWINBROOKS,34G064,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"189 FAIRMONT DRIVE
MOCKSVILLE, NC 27028",704 278-9681,"189 FAIRMONT DRIVE
MOCKSVILLE, NC 27028",1987-11-04,6,No,Non-Profit,,,"RHA Health Services NC, LLC",False
HUNTLEIGH,34G065,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"3300 HUNTLEIGH DRIVE
RALEIGH, NC 27604",919 876-3834,"3300 HUNTLEIGH DRIVE
RALEIGH, NC 27604",1987-10-19,6,No,For Profit,,,Educare Community Living Corporation - North Carolina,False
ROLLING MEADOWS,34G066,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"2533 ROLLINGS MEADOWS DRIVE
RALEIGH, NC 27603",919 662-0047,"2533 ROLLINGS MEADOWS DRIVE
RALEIGH, NC 27603",1987-12-07,6,No,For Profit,,,Educare Community Living Corporation - North Carolina,False
COUNTRY COVE GROUP HOME,34G067,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"28 HILLPARK DRIVE
HENDERSONVILLE, NC 28739",828 698-0623,"28 HILLPARK DRIVE
HENDERSONVILLE, NC 28739",1987-12-09,6,No,For Profit,,,"RHA Health Services NC, LLC",False
RIVERVIEW HOME,34G068,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"1793 RIVERVIEW ROAD
LINCOLNTON, NC 28092",704 732-1606,"1793 RIVERVIEW ROAD
LINCOLNTON, NC 28092",2000-08-16,6,No,For Profit,,,"RHA Health Services NC, LLC",False
MARIE G. SMITH GROUP HOME,34G069,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"1921 PALMETTO DRIVE
ALBEMARLE, NC 28001",704 982-8065,"1921 PALMETTO DRIVE
ALBEMARLE, NC 28001",1987-12-22,6,No,Non-Profit,,,GHA Autism Supports,False
PLEASANT ACRES,34G070,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"447 PLEASANT ACRES DRIVE
MOCKSVILLE, NC 27028",704 278-9681,"447 PLEASANT ACRES DRIVE
MOCKSVILLE, NC 27028",1988-01-06,6,No,Government,,,"RHA Health Services NC, LLC",False
SKILL CREATIONS OF TARBORO,34G071,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"811 WESTERN BOULEVARD
TARBORO, NC 27886",252 641-1141,"811 WESTERN BOULEVARD
TARBORO, NC 27886",1988-01-06,15,No,Non-Profit,,,"Skill Creations, Inc.",False
"T.L.C. HOME, INC.",34G072,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"1775 HAWKINS AVENUE
SANFORD, NC 27330",919 774-4355,"1775 HAWKINS AVENUE
SANFORD, NC 27330",1988-01-21,10,No,Non-Profit,,,"T.L.C. Homes, Inc.",False
SUNNY HILL GROUP HOME #1,34G073,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"261 SUNNY HILL DRIVE
LINCOLNTON, NC 28092",704 732-5609,"261 SUNNY HILL DRIVE
LINCOLNTON, NC 28092",1988-01-20,6,No,For Profit,,,"RHA Health Services NC, LLC",False
ASHLEY HEIGHTS HOME,34G074,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"2990 RESERVATION ROAD
ABERDEEN, NC 28315",910 424-2121,"2990 RESERVATION ROAD
ABERDEEN, NC 28315",1988-02-04,6,No,For Profit,,,"RHA Health Services NC, LLC",False
CHILES AVENUE GROUP HOME,34G075,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"22 CHILES AVENUE
ASHEVILLE, NC 28803",828 254-8068,"22 CHILES AVENUE
ASHEVILLE, NC 28803",1988-02-04,6,No,Non-Profit,,,"Mountain Area Residential Facilities, Inc.",False
IWC-ROSE STREET HOME,34G076,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"1 ROSE STREET W
ASHEVILLE, NC 28803",828 274-9541,"1 ROSE STREET W
ASHEVILLE, NC 28803",1988-02-05,12,No,Non-Profit,,,"Irene Wortham Residential Center, Inc.",False
BONNIE LANE GROUP HOME,34G077,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"121 BONNIE LANE
STATESVILLE, NC 28625",704 872-3257,"121 BONNIE LANE
STATESVILLE, NC 28625",1988-02-18,6,No,For Profit,,,"RHA Health Services NC, LLC",False
WATSON'S GROUP HOME,34G078,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"1310 ELWELL AVENUE
GREENSBORO, NC 27420",336 275-1461,"1310 ELWELL AVENUE
GREENSBORO, NC 27420",1988-04-04,6,No,For Profit,,,Addie A. Watson,False
SKILL CREATIONS OF WILSON,34G079,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"2000 MARTIN LUTHER KING JR PARKWAY
WILSON, NC 27893",252 291-9700,"2000 MARTIN LUTHER KING JR PARKWAY
WILSON, NC 27893",1988-04-26,15,No,Non-Profit,,,"Skill Creations, Inc.",False
MOSS I GROUP HOME,34G080,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"1617 MOSS SPRINGS ROAD
ALBEMARLE, NC 28001",704 982-5882,"1617 MOSS SPRINGS ROAD
ALBEMARLE, NC 28001",1988-05-02,5,No,Non-Profit,,,Monarch,False
FANJOY HOME #2,34G081,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"450 TWIN OAKS ROAD
STATESVILLE, NC 28625",704 872-3257,"450 TWIN OAKS ROAD
STATESVILLE, NC 28625",1987-09-15,6,No,For Profit,,,"RHA Health Services NC, LLC",False
BLANCHE DRIVE,34G083,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"6208 BLANCHE DRIVE
RALEIGH, NC 27607",919 859-1450,"6208 BLANCHE DRIVE
RALEIGH, NC 27607",1988-06-06,6,No,For Profit,,,Educare Community Living Corporation - North Carolina,False
SKILL CREATIONS OF GREENVILLE,34G084,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"2701 W 5TH STREET
GREENVILLE, NC 27835",919 752-8869,"2701 W 5TH STREET
GREENVILLE, NC 27835",1988-06-07,15,No,Non-Profit,,,"Skill Creations, Inc.",False
OAKDALE GROUP HOME,34G085,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"436 MOCKSVILLE HWY
STATESVILLE, NC 28625",704 872-3257,"436 MOCKSVILLE HWY
STATESVILLE, NC 28625",1988-06-09,6,No,For Profit,,,"RHA Health Services NC, LLC",False
DAL-WAN HEIGHTS GROUP HOME,34G086,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"748 SHARON DR.
STATESVILLE, NC 28677",704 872-2583,"748 SHARON DR.
STATESVILLE, NC 28677",1988-06-09,6,No,For Profit,,,"RHA Health Services NC, LLC",False
PENNY LANE #1,34G087,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"2840 HWY 70 EAST
CLAREMONT, NC 28610",828 459-0588,"2840 HWY 70 EAST
CLAREMONT, NC 28610",1988-07-12,6,No,For Profit,,,"RHA Health Services NC, LLC",False
CHERRYVILLE GROUP HOME,34G088,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"1102 REQUA ROAD
CHERRYVILLE, NC 28021",704 435-4608,"1102 REQUA ROAD
CHERRYVILLE, NC 28021",1988-08-18,5,No,Non-Profit,,,"Gaston Residential Services - ICF/MR, Inc.",False
BLUEWEST OPPORTUNITIES-SWANNANOA RESIDENTIAL,34G089,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"91 POPLAR CIRCLE
SWANNANOA, NC 28778",828 686-7385,"91 POPLAR CIRCLE
SWANNANOA, NC 28778",1988-09-01,32,No,Non-Profit,,,"BlueWest Opportunities, Inc.",False
"LIFE, INC OAKDALE HOME",34G090,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"907 OAKDALE AVE
NEW BERN, NC 28560",252 636-1288,"907 OAKDALE AVE
NEW BERN, NC 28560",1988-09-27,6,No,For Profit,,,"Life, Inc.",False
"LIFE, INC LAVENHAM GROUP HOME",34G091,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IV) Atlanta,NC,"3700 LAVENHAM ROAD
NEW BERN, NC 28560",252 633-5559,"3700 LAVENHAM ROAD
NEW BERN, NC 28560",1988-09-27,6,No,For Profit,,,"Life, Inc.",False
