name,provider_id,type,region,state,address,phone,particip_date,certified_beds,hospital_based,ownership_type,termination_code,termination_date
ATP - 50 SANDSTONE COURT,03G011,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,AZ,"2800 N HWY 87
COOLIDGE, AZ 85128",520 723-2600,1991-08-05,20,No,For Profit,,
ATP - 50 OASIS COURT,03G012,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,AZ,"2800 N HWY 87
COOLIDGE, AZ 85128",520 723-2600,1992-02-13,20,No,Government,,
ATP - 30 SANDSTONE COURT,03G013,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,AZ,"2800 N HWY 87
COOLIDGE, AZ 85128",520 723-2600,1992-06-30,20,No,Government,,
ATP - 20 SANDSTONE COURT,03G014,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,AZ,"2800 N HWY 87
COOLIDGE, AZ 85128",520 723-2600,2001-02-01,20,No,Government,,
ATP - 30 OASIS COURT,03G015,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,AZ,"2800 N HWY 87
COOLIDGE, AZ 85128",520 723-2600,2001-03-30,20,No,Government,,
ATP - 40 OASIS COURT,03G016,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,AZ,"2800 N HIGHWAY 87
COOLIDGE, AZ 85128",520 723-2600,2021-06-07,16,No,Government,,
ALEXANDER HUMAN DEVELOPMENT CENTER,04G001,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"14701 HIGHWAY 111 SOUTH
ALEXANDER, AR 72002",501 847-3506,1982-04-02,125,No,Government,Invol-Fail Req,2010-05-31
ARKADELPHIA HUMAN DEVELOPMENT CENTER,04G002,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"1 PRATOR DRIVE
ARKADELPHIA, AR 71923",870 246-8011,1983-07-01,125,No,Government,,
BOONEVILLE HUMAN DEVELOPMENT CENTER,04G003,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"87 REED ROAD, HWY 116 SOUTH
BOONEVILLE, AR 72927",479 675-1401,1982-03-30,138,No,Government,,
CONWAY HUMAN DEVELOPMENT CENTER,04G004,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"150 EAST SIEBENMORGEN RD
CONWAY, AR 72032",501 329-6851,1982-06-04,518,No,Government,,
JONESBORO HUMAN DEVELOPMENT CENTER,04G005,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"4701 COLONY DRIVE
JONESBORO, AR 72404",870 932-5230,1983-03-01,109,No,Government,,
SOUTHEAST ARKANSAS HUMAN DEVELOPMENT CENTER,04G007,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"1 CENTER CIRCLE
WARREN, AR 71671",870 226-6774,1982-12-03,100,No,Government,,
EASTER SEALS CHILDRENS REHABILITATION CENTER,04G008,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"3818 WOODLAND HEIGHTS ROAD
LITTLE ROCK, AR 72212",501 219-4000,1981-03-13,40,No,Non-Profit,,
"BROWNWOOD LIFE CARE CENTER, INC",04G009,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"7500 WELLS LAKE ROAD
FORT SMITH, AR 72916",479 785-2273,1986-04-04,50,No,For Profit,,
PEDIATRIC COMPLEX CARE OF ARKANSAS,04G010,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"4100 HERITAGE DRIVE
NORTH LITTLE ROCK, AR 72117",501 945-3177,1986-07-07,58,No,For Profit,,
MILLCREEK OF ARKANSAS,04G011,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"1828 INDUSTRIAL DRIVE
FORDYCE, AR 71742",870 352-8203,1988-08-22,61,No,For Profit,,
GORDON TUBBS RESIDENTIAL FACILITY,04G012,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"412 CLEVELAND STREET
CABOT, AR 72023",501 843-6611,1989-08-10,10,No,Non-Profit,,
HARVEY AND BERNICE JONES HOME,04G013,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"2005 KIM AVENUE
SPRINGDALE, AR 72764",479 872-4657,1989-09-13,10,No,Non-Profit,,
COTTONWOOD PLACE,04G014,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"610 WEST CHURCH STREET
MORRILTON, AR 72110",501 354-3085,1989-10-27,10,No,Non-Profit,,
DAVID E PURYEAR CENTER,04G015,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"2806 FOX MEADOW LANE
JONESBORO, AR 72404",870 932-0200,1989-12-01,10,No,Non-Profit,,
ELIZABETH RICHARDSON HOME,04G016,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"2006 KIM AVENUE
SPRINGDALE, AR 72764",479 872-4659,1989-11-03,10,No,Non-Profit,,
YOUNG HOMES ICF/MR,04G017,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"910 NO ITHICA AVE
RUSSELLVILLE, AR 72801",479 968-8995,1989-11-28,10,No,Non-Profit,,
JOHN O AND IRENE NORMAN HOME,04G018,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"2000 KIM AVENUE
SPRINGDALE, AR 72764",479 872-4370,1989-12-12,10,No,Non-Profit,,
BRAZIL ICF/MR,04G019,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"2010 BRAZIL STREET
FORT SMITH, AR 72908",479 646-9739,1990-02-13,10,No,Non-Profit,,
WILLOW CREEK-ICF/MR,04G020,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"2405 SOUTH 51ST COURT
FORT SMITH, AR 72903",479 452-0120,1990-02-13,10,No,Non-Profit,,
"CREATIVE HOUSING, I I I - NEWTON",04G021,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"232 NEWTON ST
EL DORADO, AR 71730",870 863-8194,1990-04-20,10,No,Non-Profit,,
"CREATIVE HOUSING, I I I - MT HOLLY",04G022,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"1215 MT HOLLY ROAD
EL DORADO, AR 71730",870 863-8194,1990-04-19,10,No,Non-Profit,,
PATHFINDER HOME,04G023,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"415 SOUTH HOSPITAL DRIVE
JACKSONVILLE, AR 72076",501 982-2007,1990-04-06,12,No,Non-Profit,,
UCP COMMUNITY LIVING ARRRANGEMENT ICF/MR,04G024,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"8800 LABETTE DRIVE
LITTLE ROCK, AR 72204",504 228-0425,1990-04-12,15,No,Non-Profit,,
EASTER SEALS ARKANSAS - BUTLER ADULT LIVING CENTER,04G025,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"11805 FAIRVIEW ROAD
LITTLE ROCK, AR 72212",501 221-1063,1990-07-12,10,No,Non-Profit,,
COMMUNITY LIFE SERVICES FACILITY I,04G026,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"1501 MICHAEL DRIVE
LITTLE ROCK, AR 72204",501 223-9015,1990-08-03,10,No,Non-Profit,,
COMMUNITY LIFE SERVICES FACILITY I I,04G027,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"1509 MICHAEL DRIVE
LITTLE ROCK, AR 72204",501 223-9015,1990-08-03,10,No,Non-Profit,,
"THE DELTA HOUSE, INC",04G028,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"252 DESOTO STREET
WEST HELENA, AR 72390",870 572-4124,1990-08-16,10,No,Non-Profit,,
"OMEGA HOME, INC",04G029,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"112 EAST AVENUE D
HOPE, AR 71801",870 777-6277,1990-09-15,10,No,Non-Profit,,
"CEDAR RIDGE, INC",04G030,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"107 THICKSTEN DRIVE
ALMA, AR 72921",479 632-2745,1990-09-08,10,No,Non-Profit,,
"CREATIVE LIVING, INC",04G031,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"350 HUBBARD RD
CONWAY, AR 72034",501 329-1703,1990-08-30,10,No,Non-Profit,,
"HOUSING OPPORTUNITIES ADDITION, INC",04G032,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"4600 COUNTY AVENUE
TEXARKANA, AR 71854",870 772-8391,1990-11-29,10,No,Non-Profit,,
PINEWOOD OF BRYANT,04G033,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"2107 BISHOP ROAD
BRYANT, AR 72022",501 847-9217,1990-09-22,10,No,Non-Profit,,
CHAPEL PINES NORTH,04G034,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"3401 CHAPEL PINES DRIVE
PINE BLUFF, AR 71603",870 879-0311,1990-11-08,10,No,Non-Profit,,
CHAPEL PINES SOUTH,04G035,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"3403 CHAPEL PINES DRIVE
PINE BLUFF, AR 71603",870 818-0311,1990-11-08,10,No,Non-Profit,,
LONGWOOD ICF/MR,04G036,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"96 NORTH SAWMILL ROAD
SEARCY, AR 72143",501 279-2586,1991-02-28,10,No,Non-Profit,,
WHIT DAVIS MEMORIAL CENTER,04G037,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"1110 SOUTH RD
JACKSONVILLE, AR 72076",501 982-0044,1991-04-02,10,No,Non-Profit,,
BRIARWOOD ICF/MR,04G038,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"420 BARNETT DRIVE
BATESVILLE, AR 72501",870 793-8335,1991-06-13,10,No,Non-Profit,,
DOGWOOD ICF/MR,04G039,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"904 LOBERG LANE
JONESBORO, AR 72401",870 935-3586,1991-06-24,10,No,Non-Profit,,
EASTWOOD ICF/MR,04G040,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"208 WEST JACKSON STREET
WEST MEMPHIS, AR 72301",870 735-7483,1991-09-23,10,No,Non-Profit,,
WESTWOOD ICF/MR,04G041,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"208 WEST JACKSON ST
WEST MEMPHIS, AR 72301",870 735-7622,1991-09-23,10,No,Non-Profit,,
WOODCREST LIVING CENTER,04G042,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"1501 EAST MAIN
BOONEVILLE, AR 72927",479 675-5032,2002-08-06,15,No,Non-Profit,,
PARK PLACE GROUP HOME,04G043,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"109 KIMERY
HOT SPRINGS, AR 71913",501 620-4351,2014-04-21,16,No,Non-Profit,,
PARK PLACE II,04G044,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(VI) Dallas,AR,"1203 LEONARD
HOT SPRINGS, AR 71913",501 620-4319,2014-04-21,8,No,Non-Profit,"Vol-Merg, Close",2015-04-01
LANTERMAN DEVELOPMENTAL CENTER,05G007,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"3530 POMONA BOULEVARD
POMONA, CA 91769",909 595-1221,1979-06-16,944,Yes,Government,"Vol-Merg, Close",2014-12-31
PORTERVILLE DEVELOPMENT CENTER - DP ICF/IID,05G014,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"26501 AVENUE 140
PORTERVILLE, CA 93257",559 782-2222,1980-03-01,512,No,Government,,
GOLDEN STATE CARE CENTER,05G015,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"1758 N BIG DALTON AVENUE
BALDWIN PARK, CA 91706",626 962-3274,1978-12-01,155,No,For Profit,,
HY-LOND GARDEN GROVE,05G017,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"9861 11TH STREET
GARDEN GROVE, CA 92844",714 531-8741,1978-05-01,59,No,Government,Vol-Other,2019-11-12
EDGEWOOD CENTER,05G019,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"200 WEST PARAMOUNT
AZUSA, CA 91702",626 334-7861,1978-10-01,45,No,For Profit,,
GLENRIDGE CENTER #140,05G020,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"611 SOUTH CENTRAL AVENUE
GLENDALE, CA 91204",818 637-7727,1978-11-01,59,No,For Profit,,
FAIRVIEW DEVELOPMENTAL CENTER D/P ICF/IID,05G022,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"2501 HARBOR BOULEVARD
COSTA MESA, CA 92626",714 957-5000,1978-05-12,792,No,Government,,
HILLDALE HABILITATION CENTER,05G028,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"7979 LA MESA BOULEVARD
LA MESA, CA 91942",619 465-8010,1978-11-01,57,No,Non-Profit,,
EL ENCANTO HEALTHCARE & HABILITATION CENTER,05G031,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"555 EL ENCANTO ROAD
CITY OF INDUSTRY, CA 91745",626 336-1274,1983-03-01,59,No,Non-Profit,,
CASA DE VIDA,05G036,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"879 MEINECKE AVENUE
SAN LUIS OBISPO, CA 93405",805 544-5332,1978-09-01,59,No,For Profit,,
HELEN EVANS HOME,05G039,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"15125 GALE AVE
HACIENDA HEIGHTS, CA 91745",626 330-4048,1980-04-01,42,No,Government,,
NEWBURY HOUSE,05G048,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"11489 LAUREL AVENUE
LOMA LINDA, CA 92354",909 370-3996,1982-11-01,6,No,For Profit,,
ROBINSON HOUSE,05G049,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"25787 MESA COURT
SAN BERNARDINO, CA 92404",909 864-3748,1982-11-01,6,No,For Profit,,
LA PAIX HOUSE,05G051,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"3395 BROADMOOR BLVD
SAN BERNARDINO, CA 92404",909 862-3835,1990-05-01,6,No,For Profit,,
HELMER GROUP HOME,05G053,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"2244 MEADOWLARK DR
SAN DIEGO, CA 92123",858 492-9930,1982-12-14,6,No,Non-Profit,,
THALHEIMER - ISAAC HOME,05G055,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"518 ROBERTA AVENUE
EL CAJON, CA 92020",619 938-2850,1982-12-14,6,No,Government,,
RIO DRIVE,05G057,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"12116 GAY RIO DRIVE
LAKESIDE, CA 92040",619 938-2850,1982-12-14,6,No,Government,,
JACK CLOSE HOUSE,05G058,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"533 CLAYDELLE AVENUE
EL CAJON, CA 92020",619 938-2850,1982-12-31,6,No,Government,,
GROSSMONT HEALTHCARE HOME,05G061,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"1401 LEMON AVENUE
EL CAJON, CA 92020",619 938-2850,1982-12-31,6,No,Government,,
DEL PARK MANOR,05G066,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"825 MAGNOLIA AVENUE
CORONA, CA 92879",951 273-7336,1982-12-10,12,No,Non-Profit,,
EVERGREEN ESTATES,05G071,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"825 MAGNOLIA AVENUE
CORONA, CA 92879",951 273-7337,1982-12-10,12,No,Non-Profit,,
LETICIA GROUP HOME,05G075,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"9235 TODOS SANTOS
SANTEE, CA 92071",619 258-8482,1982-12-14,6,No,Non-Profit,,
HELIX,05G076,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"2930 HELIX STREET
SPRING VALLEY, CA 91977",858 273-4148,1983-01-07,6,No,Non-Profit,,
MONTGOMERY HOUSE,05G080,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"1658 MONTGOMERY DR
VISTA, CA 92083",760 721-1706,1983-01-25,6,No,Non-Profit,,
VIA RIO HOUSE,05G081,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"1262 VIA ENCINOS
FALLBROOK, CA 92028",760 721-1183,1983-01-25,6,No,Non-Profit,,
ANZA HOUSE,05G082,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"1736 ANZA
VISTA, CA 92083",760 721-1706,1983-01-25,6,No,Non-Profit,,
OLIVE HOUSE,05G086,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"6782 CITRUS AVENUE
FONTANA, CA 92336",909 874-7896,1983-02-01,6,No,For Profit,,
MILESTONES OF DEVELOPMENT #3,05G087,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"178 SUNRISE WAY
VALLEJO, CA 94590",707 644-0817,1983-05-04,6,No,Non-Profit,,
MILESTONES OF DEVELOPMENT #1,05G089,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"150 HILLVIEW DRIVE
VALLEJO, CA 94591",707 644-0496,1989-05-01,6,No,Non-Profit,,
MILESTONES OF DEVELOPMENT #2,05G090,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"136 RON COURT
VALLEJO, CA 94590",707 644-0430,1983-05-04,6,No,Non-Profit,"Vol-Merg, Close",2020-09-17
MILESTONES OF DEVELOPMENT #4,05G091,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"132 TERRYBROOK LANE
VALLEJO, CA 94589",707 644-0496,1983-05-04,6,No,Non-Profit,,
MILESTONES OF DEVELOPMENT #5,05G092,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"200 LYTHAM
VALLEJO, CA 94590",707 644-0496,1983-05-04,6,No,Non-Profit,,
BAYBERRY HOUSE,05G095,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"400 AGUIRRE WAY
NAPA, CA 94559",707 252-6845,1983-06-03,6,No,Non-Profit,,
CB/FORTUNA GROUP HOME,05G097,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"1765 FORTUNA AVENUE
SAN DIEGO, CA 92110",858 273-4416,1983-08-19,6,No,Non-Profit,"Vol-Merg, Close",2016-06-23
SANTANA HOUSE,05G098,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"8513 ATLAS VIEW DRIVE
SANTEE, CA 92071",619 562-8497,1983-08-19,6,No,Non-Profit,,
CIRCLEBROOK,05G100,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"1720 MOUNTAIN VIEW AVENUE
LOMA LINDA, CA 92354",909 796-6915,1983-08-11,15,No,For Profit,,
BUTLER VALLEY,05G102,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"380 12TH STREET
ARCATA, CA 95521",707 822-0301,1983-09-14,6,No,Non-Profit,,
BEACHCOMBER HOME ICF/DD-N,05G103,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"3224 WILMOT ST
SIMI VALLEY, CA 93063",805 581-9302,1983-10-05,6,No,For Profit,,
BUCHANAN HOUSE,05G104,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"11451 ACACIA STREET
LOMA LINDA, CA 92354",909 862-3834,1984-02-10,6,No,For Profit,,
MILTON HOUSE,05G105,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"825 N KELLOGG
SANTA BARBARA, CA 93111",805 967-7777,1984-02-23,6,No,Non-Profit,,
HIGHLAND HOUSE,05G106,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"3465 DARREN PLACE
HIGHLAND, CA 92346",909 862-2844,1984-02-10,6,No,For Profit,,
ARC IMPERIAL VALLEY #1,05G113,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"548 MESQUITE STREET
IMPERIAL, CA 92251",760 353-2730,1984-04-01,6,No,Non-Profit,,
ARC IMPERIAL VALLEY #2,05G114,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"709 SOUTH H STREET
IMPERIAL, CA 92251",760 355-4400,1984-04-01,6,No,Non-Profit,,
VERBECK HOUSE,05G120,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"1243 BERMUDA LANE
EL CAJON, CA 92021",619 938-2850,1984-04-01,6,No,Government,,
SUNSHINE ICF-DDH #1,05G129,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"22300 RALSTON COURT
HAYWARD, CA 94541",510 582-9375,1984-05-25,6,No,Government,Vol-Other,2011-01-26
MALBORO HOME,05G131,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"1327 W MALBORO AVENUE
ANAHEIM, CA 92801",714 991-1653,1984-10-11,6,No,For Profit,,
"ALTA'S ICF, INC",05G132,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"7820 FRUITRIDGE RD
SACRAMENTO, CA 95820",916 381-1594,1984-11-05,14,No,For Profit,,
BETHESDA LUTHERAN COMMUNITIES - TWIG,05G134,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"24291 TWIG
LAKE FOREST, CA 92630",949 472-9771,1985-03-22,6,No,Non-Profit,Vol-Other,2011-07-07
TARA DIVISION,05G139,Intermediate Care Facilities for Individuals with Intellectual Disabilities (ICF/IID),(IX) San Francisco,CA,"1695 ROSENA AVENUE
LOMA LINDA, CA 92354",909 796-0629,1984-12-13,6,No,For Profit,,
