clean_owner,HFCISFacilityAddress,HFCISFacilityCity,HFCISFacilityCounty,HFCISFacilityID,HFCISFacilityName,HFCISFacilityZIPCode,HFCISNPINumber,HFCISFacilityProviderNumber,HFCISInitialLicenseDate
Susana Tubianosa (formally Gopez),15920 Hayland St,La Puente,LOS ANGELES,960001807,UNITED CARE HOMES-VALINDA,91744,1326192402,05G864,1994-11-29
"Promising Futures, Inc.",1350 Teton Dr,El Cajon,SAN DIEGO,090001259,"PROMISING FUTURES, INC. - AGAPE",92021,1336368984,05G932,1995-11-28
Ability Pathways Incorporated,130 Genoa Way,Upland,SAN BERNARDINO,240001244,GENOA DIVISION,91786,1164606380,05G702,1993-09-16
National Mentor Healthcare LLC,4508 Ironwood Way,Bakersfield,KERN,120000826,"LOYD'S LIBERTY HOMES, INC. - IRONWOOD HOME",93306,1497960769,05G683,1993-03-12
American Star Home,1209 Dakota Ave,San Mateo,SAN MATEO,220000873,AMERICAN STAR HOME I,94401,1821200783,55G019,1996-05-28
ST. GRACE HOSPICE INC.,804 W 8th St,Upland,SAN BERNARDINO,630014694,ST. GRACE MANOR,91786,1598809634,55G733,2014-04-22
Ability Pathways Incorporated,8141 Troost Ave,North Hollywood,LOS ANGELES,960002401,CASA DEL SOL DIVISION,91605,1457489965,55G271,1999-01-28
"Independent Options, Inc.","2525 Santa Catalina Dr,  108",Costa Mesa,ORANGE,060000970,"INDEPENDENT OPTIONS, INC. HARBOR VILLAGE IV",92626,1851463483,05G469,1990-04-10
Valley Village,12902 Altano St,Sylmar,LOS ANGELES,960001738,VALLEY VILLAGE ALTANO HOUSE,91342,1598818239,05G763,1993-03-25
"Antioch ICF, Inc.",1228 Putnam Street,Antioch,CONTRA COSTA,140001354,PUTNAM WEST ICF,94509,1629297122,55G323,2004-05-24
"New Haven ICF-DD-H, Incorporated",100 Sawyer St,Vallejo,SOLANO,010000089,"NEW HAVEN - ICF-DD -H, INCORPORATED",94589,1831528595,05G156,1985-06-05
BrightSpring,120 Palmyra Dr,San Bernardino,SAN BERNARDINO,240000855,PALMYRA HOUSE,92404,1033246301,05G471,1990-09-25
"Harbor Health Care, Inc.",13638 Clark Ave,Bellflower,LOS ANGELES,960001407,CLARK DIVISION,90706,1518095819,05G555,1991-12-04
United Cerebral Palsy/Spastic Children's Foundation of Los Angeles & VTA,2220 N Westlake Blvd,Westlake Village,VENTURA,050000469,UCP/SCF BEL AIR ICF/DD-H,91362,1669622353,05G320,1988-04-21
"Genmar Homes, Inc",1942 Thoreau St,Los Angeles,LOS ANGELES,960001811,THOREAU HOUSE I,90047,1710334487,05G848,1994-08-01
C.F.B. Inc.,19447 Posey Ln,Redding,SHASTA,230000769,TLC SERVICES,96003,1215141726,55G455,2002-02-26
"Castles Care Homes, Inc.",6327 La Mesa St,Corona,RIVERSIDE,630012886,MESA HOUSE,92880,1568771756,55G663,2011-03-30
"Harris Care Centers, Inc.",10271 Robin Hood Cir,Villa Park,ORANGE,630012756,ROBIN HOOD HOME,92861,1285722876,55G677,2011-11-14
"Hillsborough Manor, Inc.",1776 Adams St,San Mateo,SAN MATEO,630013147,SUNRISE ICF/DD-H,94403,1497040117,55G676,2011-10-19
Angela Niculescu,4160 Phoenix St,Concord,CONTRA COSTA,140001342,HAPPY VALLEY ICF/DD-H #4,94521,1780729392,55G160,1997-10-29
"Harbor Health Care, Inc.",14838 La Fonda Dr,La Mirada,LOS ANGELES,960002102,LAFONDA DIVISION,90638,1578691861,55G096,1997-01-24
"Model Residential Home, Inc.",5129 Loleta Ave,Los Angeles,LOS ANGELES,630013452,"LOLETA GUEST HOME, ICF-DDN",90041,1356619019,55G691,2012-06-11
"Jan &amp; Gail's Care Homes, Inc.",3345 W Monte Vista Ct,Visalia,TULARE,630003901,JAN & GAIL'S CARE HOME #6,93277,1144340746,55G560,2006-04-26
Valley Village,10141 Variel Ave,Chatsworth,LOS ANGELES,960001450,VALLEY VILLAGE VARIEL HOUSE,91311,1902957756,05G717,1993-09-28
EPIPHANY CARE HOMES INC,3224 Wilmot Street,Simi Valley,VENTURA,050000081,BEACHCOMBER HOME ICF/DD-N,93063,1558498683,05G103,1983-10-05
BrightSpring,12020 Westwood Drive,Auburn,PLACER,100001433,RCCA - WESTWOOD,95603,1326174657,55G077,1996-10-09
"Sunburst Care Center, Inc.",16518 Tupper St,North Hills,LOS ANGELES,960002786,SUNBURST CARE CENTER #3,91343,1356550529,55G479,2003-03-27
"Salem Christian Homes, Inc.",12454 Sycamore Ave,Chino,SAN BERNARDINO,630014006,SALEM SYCAMORE HOME,91710,1780985317,55G706,2013-06-11
"Genmar Homes, Inc",1948 Thoreau St,Los Angeles,LOS ANGELES,960001515,THOREAU HOUSE II,90047,1356790786,05G597,1992-07-14
The Olive Tree Experience,7834 Vanalden Ave,Reseda,LOS ANGELES,630012428,THE OLIVE TREE,91335,1134450018,55G653,2010-06-14
"Bloomfield West, Inc.",3333 E Imperial Hwy,Lynwood,LOS ANGELES,630013540,"BLOOMFIELD WEST, INC",90262,1487740452,55G679,2012-01-19
Angela Niculescu,2885 Lane Dr,Concord,CONTRA COSTA,140001362,HAPPY VALLEY #6,94518,1225173958,55G474,2002-12-20
BrightSpring,932 S Chantilly St,Anaheim,ORANGE,630018681,CHANTILLY STREET,92806,,55G787,2020-02-12
National Mentor Healthcare LLC,4315 Woodlake Dr,Bakersfield,KERN,120000390,"LOYD'S LIBERTY HOMES, INC. - WOODLAKE HOME",93309,1538375902,05G262,1987-05-12
Hortense Crawford,931 E La Palma Dr,Inglewood,LOS ANGELES,960001562,C AND C QUALITY CARE HOME,90301,1043430358,55G231,1992-10-01
"Harris Care Centers, Inc.",2420 W Glenoaks Ave,Anaheim,ORANGE,630011273,GLENOAKS HOME,92801,1285722876,55G614,2007-12-26
Valley Care Residential,186 E Portland Ave,Fresno,FRESNO,040000883,PORTLAND HOUSE,93720,1073649307,05G793,1994-07-28
BrightSpring,1805 N Olive St,Santa Ana,ORANGE,060001592,OLIVE STREET HOME,92706,1922134022,55G176,1998-01-22
"Bethesda Lutheran Communities, Inc.",3235 Filbert Ave,Clovis,FRESNO,040000641,BETHESDA LUTHERAN COMMUNITIES - FILBERT,93611,1417010604,05G508,1991-02-08
Josefina Duran,19213 Nestor Avenue,Carson,LOS ANGELES,630016762,J & T HOME CARE,90746,1235759580,55G781,2018-10-26
"Gabriel's Care Homes, Inc.",4617 Bear Creek Road,Lodi,SAN JOAQUIN,100001805,BEAR CREEK ICF-DDN,95240,1679749139,55G485,2003-10-01
"Independent Options, Inc.",4727 Brockton Ave,Riverside,RIVERSIDE,250000112,BROCKTON HOUSE,92506,1851463483,05G141,
United Cerebral Palsy/Spastic Children's Foundation of Los Angeles & VTA,8361 Knott Ave,Buena Park,ORANGE,060000784,UCP/SCF BUENA PARK,90620,1124063763,05G769,1988-02-02
"JANET'S ENTERPRISE, INC.",26602 Amherst Ct,Loma Linda,SAN BERNARDINO,240000121,NEWBURY HOUSE,92354,1578101663,05G048,1982-10-26
D &amp; E Homes,9502 Sonwell Pl,Cypress,ORANGE,060001245,ALL STAR HOME,90630,1861579468,05G733,1994-01-12
"Duke Facilities, Inc.",620 East Garner Lane,Stockton,SAN JOAQUIN,630016774,"DUKE FACILITIES, INC. #5",95207,1639526692,55G768,2017-07-26
"Family Homes, Inc.",2 Arlington Dr,South San Francisco,SAN MATEO,220000804,SHANNON ICF/DDH HOME,94080,1538224241,05G819,1994-08-02
"JANET'S ENTERPRISE, INC.",10771 Lilac Ave,Loma Linda,SAN BERNARDINO,240000137,ELM HOUSE,92354,1962040063,05G165,1985-10-01
ARC - Imperial Valley,709 S H St,Imperial,IMPERIAL,090000080,ARC IMPERIAL VALLEY #2,92251,1588799670,05G114,
National Mentor Healthcare LLC,4304 Charter Oaks Ave,Bakersfield,KERN,120000914,"LOYD'S LIBERTY HOMES, INC. - CHARTER OAK",93309,1356557722,55G028,1994-01-12
Mountain Shadows Support Group,2067 W El Norte Pkwy,Escondido,SAN DIEGO,090000311,MOUNTAIN SHADOWS COMMUNITY HOMES - SPRUCE,92026,1750406914,05G247,
Mountain Shadows Support Group,4680 Glen St,Riverside,RIVERSIDE,250000850,MOUNTAIN SHADOWS SPECIAL KIDS HOMES-GLEN HOUSE,92509,1750406070,05G447,1990-05-23
Pate &amp; Ingram Homes,9613 S 11th Ave,Inglewood,LOS ANGELES,960002358,PATE & INGRAM HOME I,90305,1982812194,55G260,1999-01-28
Janet Kempis,18460 Allendale Ave,Saratoga,SANTA CLARA,220001192,CORINTHIAN CARE CENTER,95070,1851307540,55G531,2004-04-21
"Serra Residential Center, Inc.",4041 Crestwood Street,Fremont,ALAMEDA,020000630,SERRA RESIDENTIAL CENTER - CRESTWOOD HOUSE,94538,1356487532,05G433,1988-08-30
"E &amp; P Evangelista &amp; Associates, Inc.",933 Newman Dr,South San Francisco,SAN MATEO,220000982,"PHILIP'S HOME, ICF/DD-H",94080,1790991560,55G367,1998-11-03
"PARADISE VALLEY ICF DDH, INC.",3313 El Pinole Way,Fairfield,SOLANO,010001143,"PARADISE VALLEY ICF DDH, INC",94533,1104317460,55G454,2002-01-07
"OPTIONS FAMILY OF SERVICES, INC.",490 Bernardo Ave,Morro Bay,SAN LUIS OBISPO,050000648,MORRO BAY HOUSE,93442,1154407773,05G599,1992-04-02
Terra Bella Communities,1119 Ayer Dr,Gilroy,SANTA CLARA,070000918,AYER HOUSE,95020,1275700239,05G862,1995-03-27
"Independent Options, Inc.",3648 Red Bluff Ln,Banning,RIVERSIDE,250001739,INDEPENDENT OPTIONS INC./RED BLUFF HOUSE,92220,1851463483,55G359,2000-07-29
"Duke Facilities, Inc.",403 Goya Drive,Stockton,SAN JOAQUIN,630002961,"DUKE FACILITIES, INC. #3",95207,1962551713,55G532,2005-09-27
Susana Tubianosa (formally Gopez),1982 Camwood Ave,Rowland Heights,LOS ANGELES,960001221,"UNITED CARE HOMES, INC. - CAMWOOD",91748,1528112687,05G551,1991-10-10
Tupaz Homes LLC,14716 Union Ave,San Jose,SANTA CLARA,630011863,TUPAZ HOME #14,95124,,,2009-02-23
Sunny J Care Home LLC,6127 E. Townsend Ave.,Fresno,FRESNO,630015965,SUNNY J CARE HOME LLC,93727,1386034783,55G763,2017-05-22
Seykat Corporation,10346 Challenge Blvd,La Mesa,SAN DIEGO,090001469,SHASTA HOME,91941,1134342520,55G223,1998-09-04
Mountain Shadows Support Group,2067 W El Norte Pkwy,Escondido,SAN DIEGO,090000278,MOUNTAIN SHADOWS COMMUNITY HOMES - BIRCH,92026,1710002951,05G200,1985-12-12
BrightSpring,2513 Christopher Ln,Costa Mesa,ORANGE,060001052,CHRISTOPHER LANE TWO,92626,1992930176,05G494,1990-12-14
LaVang Care Homes Inc.,4644 N Barcus Ave,Fresno,FRESNO,040000856,BUCKINGHAM HOME,93722,1851560916,05G754,1994-03-24
"Temple Garden Homes For The Dev. Disabled, Inc.",5120 Baldwin Ave,Temple City,LOS ANGELES,960002724,TEMPLE GARDEN HOMES IV,91780,1346408598,55G432,2002-03-18
"Monte Vista Child Care Center, Inc.",1303 N Erin Ave,Upland,SAN BERNARDINO,630016719,ERIN HOUSE,91786,1538514807,55G765,2017-07-03
Mountain Shadows Support Group,2067 W El Norte Pkwy,Escondido,SAN DIEGO,090000281,MOUNTAIN SHADOWS COMMUNITY HOMES - JACARANDA,92026,1346365590,05G486,1987-01-01
"Angel View, Inc.",6889 Sunny Vista Rd,Joshua Tree,SAN BERNARDINO,240001462,CLIFFORD SHAKLEE HOUSE,92252,1902943749,05G955,1996-02-09
Vernon Davidson &amp; Julie Davidson,1110 E Donna Dr,Merced,MERCED,040000905,DONNA DR./DAVIDSONS CHILDRENS HOME,95340,1659566511,05G792,1994-07-08
"Pilar M. De Castro &amp; Co., Inc.",6282 Los Robles Ave,Buena Park,ORANGE,060001414,SUNSET HAVEN HOME,90621,1316021942,05G966,1995-11-08
"Minuet Homes, Inc.",8566 Minuet Pl,Panorama City,LOS ANGELES,630012473,"MINUET HOMES, INC.",91402,1750617031,55G654,2010-06-17
Tupaz Homes LLC,4189 Leigh Ave,San Jose,SANTA CLARA,070001309,TUPAZ HOME #8,95124,1922219302,55G752,2002-02-04
Home of Guiding Hands Corporation,10315 Everell Pl,Santee,SAN DIEGO,090001428,GERMON HOUSE,92071,1730141755,55G159,1997-10-09
"Bright Expectations, Inc.",3921 Manchester Pl,Riverside,RIVERSIDE,250001390,MANCHESTER DIVISION,92503,1215102512,55G715,1995-04-19
National Mentor Healthcare LLC,5801 Daggett Ave,Bakersfield,KERN,120000884,"LOYD'S LIBERTY HOMES, INC. - DAGGETT HOME",93309,1992911358,05G714,1993-07-14
Charlex Corporation U.S.A.,1528 Seaver Court,Hayward,ALAMEDA,020000348,SUNSHINE ICF/DDH #3,94545,1821280819,05G691,1986-05-21
Mountain Shadows Support Group,4287 Garth Street,Jurupa Valley,RIVERSIDE,630016870,MOUNTAIN SHADOWS SPECIAL KIDS HOMES-GARTH,92509,1104280361,55G756,2017-05-15
"Shirley's Care Home, Inc.",8351 Hamilton Way,Stockton,SAN JOAQUIN,100001594,SHIRLEY'S ICF/DD-H #2,95209,1770760019,55G247,1998-12-31
Home of Guiding Hands Corporation,518 Roberta Ave,El Cajon,SAN DIEGO,090000111,THALHEIMER - ISAAC HOME,92021,1508821166,05G055,
"Harbor Health Care, Inc.",9904 Rose St,Bellflower,LOS ANGELES,960001148,GRANADA DIVISION,90706,1366570665,05G457,1990-05-30
Nancy Frye,556 Valley View Dr,Paradise,BUTTE,230000363,THE ELGIN HOME,95969,1780805879,05G458,1989-10-19
United Cerebral Palsy/Spastic Children's Foundation of Los Angeles & VTA,11051 Old Santa Susana Pass Rd,Chatsworth,LOS ANGELES,960000889,UCP LONGO HOUSE,91311,1124063763,05G238,1986-12-02
BrightSpring,"2538 Anacapa Drive, Apt. 101/108",Costa Mesa,ORANGE,630015860,ANACAPA,92626,,55G758,2015-12-07
"Almond Home, Inc.",2962 Almond Dr,San Jose,SANTA CLARA,630000361,ALMOND HOME ICF/DD-N,95148,1437338639,55G542,2005-10-06
"Great Expectations Services, Inc.",4825 Glenhaven Dr,Oceanside,SAN DIEGO,630014322,BRADY HOME,92056,1760725766,55G702,2013-10-01
AMD Alternative Care Services,2639 Sheppard Way,Antioch,CONTRA COSTA,140001318,SHEPPARD WAY ICF/DDN,94509,1104098953,05G390,2003-04-29
MVM Home,607 E 228th St,Carson,LOS ANGELES,960002158,"MVM HOME, INC.",90745,1598892770,55G153,1997-06-19
"JANET'S ENTERPRISE, INC.",7817 Sauterne Dr,Rancho Cucamonga,SAN BERNARDINO,240000675,NORWOOD HOUSE,91730,1417595513,05G350,1988-10-21
"Our House Residential Care, Inc.",2816 Westgate Dr,Madera,MADERA,040000729,OUR HOUSE WESTGATE,93637,1720144744,05G590,1992-06-21
"Harbor Health Care, Inc.",9342 Redwood St,Cypress,ORANGE,060001291,"HARBOR HEALTH CARE, INC. - REDWOOD DIVISION",90630,1326176769,05G844,1994-10-05
"Developmental Client Care Industries, Inc.",11751 Davis St,Moreno Valley,RIVERSIDE,250001796,DAVIS HOUSE,92557,1336298280,55G472,2003-04-18
Terra Bella Communities,280 River Park Dr,Redding,SHASTA,230000621,RIVER PARK HOUSE,96003,1447427406,55G042,1996-11-04
Au Homes Inc.,8422 San Marino Dr,Buena Park,ORANGE,060001550,AU HOMES/SAN MARINO,90620,1205857315,55G123,1997-07-02
"Care Administration &amp; Management Professional,Inc.|Fisher Trust",6955 Portage Road,Dublin,ALAMEDA,020001276,LEWIS HOUSE,94568,1225170871,55G480,2003-06-17
Mountain Shadows Support Group,2067 W El Norte Pkwy,Escondido,SAN DIEGO,090000280,MOUNTAIN SHADOWS COMMUNITY HOMES- CREPE MYRTLE,92026,1396860540,05G203,1985-12-12
"Jenymel's Home Care, Inc.",12108 Hibbing St,Artesia,LOS ANGELES,960001723,"JENYMEL'S HOME CARE, INC. II",90701,1811156524,05G736,1993-11-01
"Cornerstone Living Skills, Inc.",4740 Badger Rd,Santa Rosa,SONOMA,010000657,ESTES HOUSE,95409,1790996320,05G672,1993-06-30
"Noia Residential Services, Inc.",668 W Robinwood Ln,Fresno,FRESNO,040000284,CASA FAIAL,93704,1457404055,55G413,
Au Homes Inc.,7036 Van Buren Way,Buena Park,ORANGE,630011198,AU HOMES/VAN BUREN,90620,1205857315,55G606,2007-06-22
"Angel View, Inc.",12840 Cactus Dr,Desert Hot Springs,RIVERSIDE,250001780,MELVYN HABER HOUSE,92240,1295872034,,2002-09-11
BrightSpring,2508 Christopher Ln,Costa Mesa,ORANGE,060001053,CHRISTOPHER LANE ONE,92626,1962637249,05G802,1990-10-01
"Harmony Homes, Inc.",1034 W Mesa Ave,Fresno,FRESNO,040000857,HARMONY HOUSE,93711,1164640793,05G729,1993-12-15
Mouri Management Group Incorporated,3220 Flintdale Dr,San Jose,SANTA CLARA,070001060,SHINRAI-FLINTDALE,95148,1588716211,55G236,
"Spring Living, Inc.",18481 Dragonera Dr,Rowland Heights,LOS ANGELES,960001670,STORM INN,91748,1831312008,05G699,1993-06-24
Valley Care Residential,1435 E Swift Ave,Fresno,FRESNO,040001196,SWIFT HOUSE,93704,1447386792,55G191,1997-12-16
Mountain Shadows Support Group,2067 W El Norte Pkwy,Escondido,SAN DIEGO,090000279,MOUNTAIN SHADOWS COMMUNITY HOMES - CEDAR,92026,1912022161,05G201,1986-01-27
"Jan &amp; Gail's Care Homes, Inc.",2005 Atlantic Ave,Tulare,TULARE,120001555,JAN & GAIL'S CARE HOME #2,93274,1730216508,55G294,1999-09-07
"Developmental Client Care Industries, Inc.",12867 Foxdale Dr,Moreno Valley,RIVERSIDE,250000596,FOXDALE HOUSE,92553,1467501304,05G407,1989-02-04
Lourdes Gatchalian,306 N Siesta St,Anaheim,ORANGE,060001454,SUNRISE HOME CARE,92801,1043234487,55G052,1996-09-26
BrightSpring,1408 Douglass Dr,Pomona,LOS ANGELES,960002322,DOUGLASS HOME,91768,1902839962,55G284,1999-05-04
"Bay Horizon, Inc.",516 Ocean View Ave,San Mateo,SAN MATEO,220000829,BAY HORIZON ICF/DD-H,94401,1174720072,05G894,1995-05-05
"Pilar M. De Castro &amp; Co., Inc.",912 N Magnolia Ave,Anaheim,ORANGE,060001287,912 MAGNOLIA HOME,92801,1316021942,05G805,1994-05-10
Rita Reginaldo-Roxas,2166 Boca Raton Street,Hayward,ALAMEDA,630015460,CHENEY HOME ICF-DD/N II,94545,1316315146,55G730,2015-01-20
"OPTIONS FAMILY OF SERVICES, INC.",8020 Coromar Ave,Atascadero,SAN LUIS OBISPO,050000649,ATASCADERO HOUSE,93422,1154407773,05G598,1992-04-14
"Double GSG, Inc.",113 N Sandalwood Ave,La Puente,LOS ANGELES,630014436,SANDALWOOD HOME,91744,1871921478,55G742,2014-04-23
Susan G. Martinez,14771 Ragan Dr,La Mirada,LOS ANGELES,960001826,G M HOME II,90638,1154539351,05G845,1994-11-08
"Woodland Residential Services, Inc.",1000 4th Street,Woodland,YOLO,100001453,"WRS INC., MARSHALL PROGRAM",95695,1851500722,55G039,1996-10-18
"Serra Residential Center, Inc.",41477 Ellen St,Fremont,ALAMEDA,020000631,SERRA RESIDENTIAL CENTER - ELLEN HOUSE,94538,1033255831,05G430,1998-09-01
United Cerebral Palsy/Spastic Children's Foundation of Los Angeles & VTA,18509 S F Mission Blvd,Porter Ranch,LOS ANGELES,960002836,UCP MISSION,91326,1124063763,55G495,2003-12-03
BrightSpring,6540 Christine Cir,Buena Park,ORANGE,630018679,CHRISTINE CIRCLE,90620,1356984249,,2020-09-30
Jasmine Badillo &amp; Teresita Reyes,100 Morgan Ct,Vallejo,SOLANO,010001139,GREENFIELDS III ICF-DDN,94591,1992915953,55G409,2001-06-13
Home of Guiding Hands Corporation,2349 Windmill View Rd,El Cajon,SAN DIEGO,090000310,WINDMILL VIEW,92020,1710941141,05G270,1986-10-10
The H.E.L.P. Group - Project Six,16026 Gresham St,North Hills,LOS ANGELES,960001172,MOUNTAINGATE HOUSE - PROJECT SIX,91343,1902027220,05G464,1990-05-12
"Cerijon's Homes, Inc.",1455 W Woodcrest Ave,Fullerton,ORANGE,060001497,CRISTINA'S HOME,92833,1790874659,55G069,1996-10-29
"Emily's Residential Care Center, LLC",8983 Telfair Ave,Sun Valley,LOS ANGELES,960001522,"EMILY'S RESIDENTIAL CARE CENTER, LLC",91352,1043394513,05G608,1992-07-01
Cecilia  Cuevas,2075 El Molino Ave,Altadena,LOS ANGELES,960001871,JO-MI ALTA 5,91001,1124169537,05G921,1995-08-10
"Positive Directions, Inc.",2017 19th Ave,Delano,KERN,120000503,POSITIVE DIRECTIONS # 2,93215,1821211475,05G385,1989-05-11
"Castles Care Homes, Inc.",1481 Teakwood Pl,Corona,RIVERSIDE,250001714,TEAKWOOD HOUSE,92880,1437308848,55G298,1999-06-28
