"Facility Name","Legal Name","Administrator","State Key","Operation Status","Opened","Closed","Physical Address","Physical Address 2","City","State","Zip","County","Phone Number","FAX","Facility Type","Sub Type","Abbreviation","License Type","License Number","License Effective","License Expires","Licensed Beds","Certified Beds","SSI Beds","Total Beds","Medicare","Medicaid","SSI","Longitude","Latitude"
"REM WV, INC., CURTIS AVENUE","REM WEST VIRGINIA, INCORPORATED","","505476","Active","1988/04/22","","904 CURTIS AVENUE","","Morgantown","WV","26505","Monongalia","No Phone","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"REM WV, INC., FLYNN AVENUE","REM WEST VIRGINIA, INCORPORATED","","505477","Active","1990/11/29","","1501 FLYNN AVENUE","","Wheeling","WV","26003","Ohio","(304)242-9330","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"REM WV, INC., G. C. & P. ROAD","REM WEST VIRGINIA, INCORPORATED","","505477","Active","1990/04/23","","147 G.C. & P. ROAD","","Wheeling","WV","26003","Ohio","(304)232-1749","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"REM WV, INC., PADUCAH DRIVE","REM WEST VIRGINIA, INCORPORATED","","505475","Active","1990/04/29","","170 PADUCAH DRIVE","","New Martinsville","WV","26155","Wetzel","(304)455-4804","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"REM WV, INC., ROCKDALE ROAD","REM WEST VIRGINIA, INCORPORATED","","505214","Active","1991/04/25","","131 ROCKDALE ROAD","","Follansbee","WV","26037","Brooke","(304)527-0192","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"REM WV, INC., WHITE AVENUE","REM WEST VIRGINIA, INCORPORATED","","505214","Active","1992/06/25","","1040 WHITE AVENUE","","Morgantown","WV","26505","Monongalia","(304)296-9026","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","7","7","0","7","No","Yes","No","",""
"REM WV, INC., WOODCREST DRIVE","REM WEST VIRGINIA, INCORPORATED","","505214","Active","1990/08/30","","201 WOODCREST DRIVE","","Follansbee","WV","26037","Brooke","No Phone","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"RITZ AVENUE GROUP HOME","NORTHWOOD HEALTH SYSTEMS, INCORPORATED","","505009","Active","2011/03/15","","2302 RITZ AVENUE","","Wheeling","WV","26003","Ohio","(304)234-3561","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","6","6","0","6","No","Yes","No","",""
"RIVERVIEW GROUP HOME","NORTHWOOD HEALTH SYSTEMS, INCORPORATED","","505009","Active","1987/11/24","","102 12TH STREET","","MC MECHEN","WV","26040","Marshall","(304)234-3520","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","6","6","0","6","No","Yes","No","",""
"RUSSELL NESBITT APARTMENTS","NORTHWOOD HEALTH SYSTEMS, INCORPORATED","","505009","Active","1987/02/26","","501 MAIN STREET","","Wheeling","WV","26003","Ohio","(304)234-3530","(304)234-3556","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"SALEM GROUP HOME","RSCR WEST VIRGINIA, INCORPORATED","","505260","Active","1988/11/17","","272 W. MAIN STREET","","Salem","WV","26426","Harrison","(304)782-3068","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"SIXTEENTH STREET GROUP HOME","RSCR WEST VIRGINIA, INCORPORATED","","505267","Active","1989/08/16","","2126 16TH STREET","","Parkersburg","WV","26101","Wood","(304)485-0478","(304)485-8593","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","6","6","0","6","No","Yes","No","",""
"SOUTHSIDE GROUP HOME","RSCR WEST VIRGINIA, INCORPORATED","","505262","Active","1990/04/20","","1207 WEST VIRGINIA AVENUE","","Martinsburg","WV","25401","Berkeley","(304)263-4871","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"SPRING STREET GROUP HOME","RSCR WEST VIRGINIA, INCORPORATED","","505267","Active","1989/03/28","","1615 SPRING STREET","","Parkersburg","WV","26101","Wood","(304)485-0476","(304)485-0978","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"STONEWOOD GROUP HOME","RSCR WEST VIRGINIA, INCORPORATED","","505260","Active","1989/08/25","","8082 2ND STREET","","CLARKSBURG","WV","26301","Harrison","(304)624-6002","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"SUMMERSVILLE GROUP HOME","VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED","","505264","Active","1988/02/25","","509 DUFFY STREET","","Summersville","WV","26651","Nicholas","(304)872-2042","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"TEMPLE STREET GROUP HOME","VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED","","505312","Active","1989/04/26","","510 TEMPLE STREET","","Beckley","WV","25801","Raleigh","(304)252-6871","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"TERRA ALTA CHILDREN'S HOME","TERRA ALTA CHILDREN'S HOME","","522064","Active","2005/08/09","","101 EAST VIEW DRIVE","","Terra Alta","WV","26764","Preston","(304)789-6795","(304)789-5873","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","5","5","0","5","No","Yes","No","",""
"THOMPSON GROUP HOME","VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED","","505268","Active","1994/04/01","","651 GLENWOOD HAVEN ROAD","","Princeton","WV","24739","Barbour","(304)487-9042","(304)431-9981","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"VALLEY VIEW GROUP HOME","VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED","","505268","Active","1989/06/23","","129 VALLEY VIEW DRIVE","","Princeton","WV","24740","Mercer","(304)425-0479","(304)425-0479","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"VIRGINIA AVENUE GROUP HOME","VOCA CORPORATION OF WEST VIRGINIA, INCORPORATED","","505263","Active","1987/03/06","","821 VIRGINIA AVENUE","","Huntington","WV","25701","Cabell","(304)523-0196","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","8","8","0","8","No","Yes","No","",""
"WASHINGTON STREET GROUP HOME","POTOMAC CENTER, INCORPORATED","","505418","Active","1989/04/04","","400 WASHINGTON STREET","","ROMNEY","WV","26757","Hampshire","(304)822-3330","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","Biennial","449","2020/11/01","2022/10/31","8","8","0","8","No","Yes","No","",""
"WOODWARD CHILDREN'S HOME","WOODWARD CHILDREN'S HOME","","522065","Active","2005/07/25","","1033 WOODWARD DRIVE","","CHARLESTON","WV","25312","Kanawha","(304)720-6903","No Phone","INTERMEDIATE CARE FACILITY FOR INTELLECTUALLY DISABLED","MEDICAID","ICF/IID","","","","","4","4","0","4","No","Yes","No","",""
